Location_ID,Road_Segment_ID,Road_Name,Road_Type,Road_Length_m,Road_Width_m,From_Node,To_Node,Nearest_Road_Distance_m,Road_Owner,Road_Maintainer,Ward,Sector,Zone,Road_Source,Data_Quality,Data_Quality
C5,94,Jharsa Road (CR Model School chowk to Mor Chowk via DDR Chowk),MCG,Not provided,2211.64,13.4,CR Model School Chowk,Mor Chowk junction with Civil Lines Road,403,MCG,MCG,28,31,4,ArcGIS Road GIS,Official GIS polyline
C6,41,"M/R 44/52, 45/52, 46/51",HUDA,Not provided,2773.42,30,Ardee City Chowk,T Point Sec 47,89,HUDA,HUDA-V,32,46,4,ArcGIS Road GIS,Official GIS polyline
C7,36,"Dividing Road 50/51, 50/57",HUDA,Not provided,2645.69,30,Mayfield Garden,Village Tigra,378,HUDA,HUDA-VI,29,47,4,ArcGIS Road GIS,Official GIS polyline
C8,14,Village Ghata to Faridabad Road,Way To Ghata,Not provided,2961.4,60,Village Ghata,Fbd Road,23,HUDA,HUDA-I,30,58,3,ArcGIS Road GIS,Official GIS polyline
C9,42,M/R 57 I&2,HUDA,Not provided,1924,30,T Point Sec51,SPR,312,HUDA,HUDA-V,29,57,4,ArcGIS Road GIS,Official GIS polyline
C10,55,30 Part,HUDA,Not provided,786.14,30,Sec 31,South City,132,HUDA,HUDA-III,32,30,4,ArcGIS Road GIS,Official GIS polyline
C11,44,M/R 52/57,HUDA,Not provided,1795.88,30,Y point Sec 51/52/57,"Botanical gaerden Chowk Sec 52, 52A, 56 & 57",733,HUDA,HUDA-V,29,51,4,ArcGIS Road GIS,Official GIS polyline
C12,69,Between Sec 61/62 & 60/63 (CRPF camp Road),HUDA,Not provided,1935.6,60,SPR,CRPF Camp Road,444,HUDA,HUDA-I,29,57,4,ArcGIS Road GIS,Official GIS polyline
C13,65,"Between Sec 62/65, 63/64",HUDA,Not provided,2842.03,60,SPR,Sec 63/64,521,HUDA,HUDA-I,29,50,4,ArcGIS Road GIS,Official GIS polyline
C14,65,"Between Sec 62/65, 63/64",HUDA,Not provided,2842.03,60,SPR,Sec 63/64,452,HUDA,HUDA-I,29,50,4,ArcGIS Road GIS,Official GIS polyline
C15,66,Between Sec 64/65,HUDA,Not provided,1725.55,60,Sec 62/63,Sec 66/67,672,HUDA,HUDA-I,26,66,4,ArcGIS Road GIS,Official GIS polyline
C16,13,Sohna Road to Village Ghata,HUDA,Not provided,7148.54,60,Sohna Road,Village ghata,723,HUDA,HUDA-I,29,48,4,ArcGIS Road GIS,Official GIS polyline
C17,500,Between Sec 66/67,HUDA,Not provided,1306.27,60,Sec 66/67,Sec 64/65,529,HUDA,HUDA,26,66,4,ArcGIS Road GIS,Official GIS polyline
C18,15,Southern Peripheral Road from Sohna Road to Rambir Dhani,HUDA,Not provided,2436.1,90,Sohna Road,Rambir ki Dhani,538,HUDA,HUDA-I,26,69,4,ArcGIS Road GIS,Official GIS polyline
C19,Not available,Not available,Not available,Not provided,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
C20,Not available,Not available,Not available,Not provided,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
