Location_ID,Mapped_Drain_Present,Nearest_Drain_Distance_m,Drain_Name,Drain_Type,Dr_Line_ID,AssetID,FID,Drain_Size_mm,Drain_Status,Drain_Remark,MCG_Drainage_Issue,Drainage_Condition,Drainage_Adequacy,Drain_Source,Data_Quality
H12,1,1902.4,Master Sewer line,Master Sewer line,264,719,252,2000*1500,Carrier Drain Chakkarpur,,Unknown,Unknown,Unknown,GMDA Master Storm Water Drain Network,Official GIS / nearest mapped feature
H13,1,2443,Master Sewer line,Master Sewer line,264,719,252,2000*1500,Carrier Drain Chakkarpur,,Unknown,Unknown,Unknown,GMDA Master Storm Water Drain Network,Official GIS / nearest mapped feature
H14,1,8510.8,Master Sewer line,Master Sewer line,5,473,4,1200*900,Work Completed,,Unknown,Unknown,Unknown,GMDA Master Storm Water Drain Network,Official GIS / nearest mapped feature
H15,1,73.6,Master Sewer line,Master Sewer line,7,475,6,900*900,Work Completed,,Low-lying area; storm water drain silted/damaged,Unknown,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H16,1,11.7,Master Sewer line,Master Sewer line,242,706,224,900*900,Work Completed,,Blockage of GMDA storm water drain,Blocked,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H17,1,29.1,Master Sewer line,Master Sewer line,12,480,10,1200,Work Completed,,Blockage of GMDA storm water drain,Blocked,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H18,1,78.8,Master Sewer line,Master Sewer line,245,708,226,2444*1520,Work Completed,,Blockage of GMDA storm water drain,Blocked,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H19,1,271.6,Master Sewer line,Master Sewer line,12,480,10,1200,Work Completed,,Blockage of GMDA storm water drain,Blocked,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H20,1,22.9,Master Sewer line,Master Sewer line,11,479,9,600,Work Completed,,Water logging due to low-lying area,Unknown,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
C1,1,15,Master Sewer line,Master Sewer line,131,597,122,600,Work Completed,,Silt in drain,GIS drain present,Not assessed,GMDA GIS,Official GIS + MCG hotspot location
C2,1,27,Master Sewer line,Master Sewer line,132,598,123,2440x1375,Work Completed,,Silt in drain,GIS drain present,Not assessed,GMDA GIS,Official GIS + MCG hotspot location
C3,1,133,Master Sewer line,Master Sewer line,48,515,42,2400x1800,Work Completed,,Low lying area,GIS drain present,Not assessed,GMDA GIS,Official GIS + MCG hotspot location
C4,1,641,Master Sewer line,Master Sewer line,48,515,42,2400x1800,Work Completed,,Low lying area,GIS drain present,Not assessed,GMDA GIS,Official GIS + MCG hotspot location
C5,1,128,Master Sewer line,Master Sewer line,48,515,42,2400x1800,Work Completed,,Low lying area in green belt of NH-8 and adjoining area,GIS drain present,Not assessed,GMDA GIS,Official GIS + MCG hotspot location
C6,1,89,Master Sewer line,Master Sewer line,39,507,34,1000,Work Completed,,Low lying area,GIS drain present,Not assessed,GMDA GIS,Official GIS + MCG hotspot location
C7,1,378,Master Sewer line,Master Sewer line,41,509,36,1000,Work Completed,,Low lying area,GIS drain present,Not assessed,GMDA GIS,Official GIS + MCG hotspot location
C8,1,409,Master Sewer line,Master Sewer line,159,625,147,4500x2420,Work Completed,,Low lying area,GIS drain present,Not assessed,GMDA GIS,Official GIS + MCG hotspot location
C9,1,629,Master Sewer line,Master Sewer line,41,509,36,1000,Work Completed,,Storm drainage cleaning required,GIS drain present,Not assessed,GMDA GIS,Official GIS + MCG hotspot location
C10,1,67,Master Sewer line,Master Sewer line,269,1730,235,1000,Work Completed,,Overflow of main GMDA line,GIS drain present,Not assessed,GMDA GIS,Official GIS + MCG hotspot location
C11,1,733,Master Sewer line,Master Sewer line,37,505,32,1000,Work Completed,,Not listed as MCG hotspot,GIS drain present,Not assessed,GMDA GIS,Official GIS + control location
C12,1,444,Master Sewer line,Master Sewer line,166,632,154,1100,Work Completed,,Not listed as MCG hotspot,GIS drain present,Not assessed,GMDA GIS,Official GIS + control location
C13,1,521,Master Sewer line,Master Sewer line,170,636,158,1800x1500,Work Completed,,Not listed as MCG hotspot,GIS drain present,Not assessed,GMDA GIS,Official GIS + control location
C14,1,452,Master Sewer line,Master Sewer line,168,634,156,900,Work Completed,,Not listed as MCG hotspot,GIS drain present,Not assessed,GMDA GIS,Official GIS + control location
C15,1,690,Master Sewer line,Master Sewer line,168,634,156,900,Work Completed,,Not listed as MCG hotspot,GIS drain present,Not assessed,GMDA GIS,Official GIS + control location
C16,1,723,Master Sewer line,Master Sewer line,164,630,152,3500x2120,Work Completed,,Not listed as MCG hotspot,GIS drain present,Not assessed,GMDA GIS,Official GIS + control location
C17,1,529,Master Sewer line,Master Sewer line,17,485,15,750,Work Completed,,Not listed as MCG hotspot,GIS drain present,Not assessed,GMDA GIS,Official GIS + control location
C18,1,538,Master Sewer line,Master Sewer line,60,527,54,4500x2420,Additional Drain to be constructed of enhanced capi,,Not listed as MCG hotspot,Additional drain required,Not assessed,GMDA GIS,Official GIS + control location
C19,1,479,Master Sewer line,Master Sewer line,34,502,29,1000,Work in progress,,Not listed as MCG hotspot,Work in progress,Not assessed,GMDA GIS,Official GIS + control location
C20,1,442,Master Sewer line,Master Sewer line,32,500,27,3500x2420,Work Completed,,Not listed as MCG hotspot,GIS drain present,Not assessed,GMDA GIS,Official GIS + control location
